name,email,age,country,income,join_date
bob,bob29@gmail.com,17.0,,30000.0,
Alice,alice90@gmail.com,66.0,USA,30000.0,05-12-2023
Eva,eva44@gmail.com,86.0,Brasil,20000.0,
Bob,bob71@gmail.com,87.0,Canada,0.0,05-12-2023
Bob,bob49@gmail.com,88.0,UK,40000.0,2023-05-12
Jack,jack32@gmail.com,51.0,USA,20000.0,20230512
eva,eva73@gmail.com,122.0,Brazil,40000.0,
Ian,ian75@gmail.com,30.0,U.S.A,75000.0,12/05/2023
Grace,grace77@gmail.com,-3.0,U.S.A,-1000.0,05-12-2023
Bob,bob1@gmail.com,62.0,us,20000.0,05-12-2023
Ian,ian98@gmail.com,130.0,Brasil,20000.0,05-12-2023
Eva,eva73@gmail.com,119.0,Germany,30000.0,
Charlie,charlie55@gmail.com,46.0,United Kingdom,0.0,
Hannah,hannah44,,Canada,30000.0,2023-05-12
frank,frank86@gmail.com,116.0,France,30000.0,20230512
Frank,frank94,20.0,Canada,75000.0,12/05/2023
David,david24@gmail.com,14.0,Germany,0.0,2023-05-12
Bob,bob22@gmail.com,97.0,us,50000.0,20230512
Eva,eva72@gmail.com,43.0,USA,-1000.0,05-12-2023
alice,alice68@gmail.com,15.0,U.S.A,0.0,20230512
Bob,bob75@gmail.com,102.0,Brasil,40000.0,05-12-2023
David,david83@gmail.com,,Brasil,20000.0,12/05/2023
Ian,ian9@gmail.com,35.0,Germany,-1000.0,
Alice,alice85@gmail.com,62.0,U.S.A,30000.0,
David,david82@gmail.com,59.0,USA,50000.0,2023-05-12
Alice,alice34@gmail.com,104.0,U.S.A,0.0,
Alice,,88.0,USA,30000.0,2023-05-12
Frank,frank53@gmail.com,55.0,us,20000.0,05-12-2023
Grace,grace32@gmail.com,22.0,USA,30000.0,20230512
Frank,frank30@gmail.com,97.0,U.S.A,40000.0,
Grace,grace43@gmail.com,61.0,,-1000.0,05-12-2023
Grace,grace50@gmail.com,6.0,USA,75000.0,12/05/2023
Frank,frank43@gmail.com,26.0,IND,0.0,20230512
Eva,eva86@gmail.com,39.0,IND,,05-12-2023
David,david84@gmail.com,49.0,Canada,20000.0,
frank,frank31@gmail.com,45.0,USA,50000.0,2023-05-12
Hannah,hannah25@gmail.com,97.0,Brazil,75000.0,2023-05-12
Grace,grace90@gmail.com,58.0,U.S.A,75000.0,
Ian,ian57@gmail.com,124.0,Germany,30000.0,20230512
Hannah,hannah82@gmail.com,119.0,IND,0.0,05-12-2023
Frank,frank18@gmail.com,34.0,U.S.A,40000.0,20230512
Alice,alice99@gmail.com,92.0,UK,50000.0,20230512
Ian,ian78@gmail.com,64.0,USA,0.0,20230512
Charlie,charlie80@gmail.com,1.0,United Kingdom,50000.0,05-12-2023
Grace,grace44@gmail.com,102.0,U.S.A,0.0,05-12-2023
David,,58.0,USA,30000.0,2023-05-12
Jack,jack33@gmail.com,24.0,us,20000.0,05-12-2023
Jack,jack51@gmail.com,57.0,IND,-1000.0,
Alice,alice48,-2.0,France,40000.0,20230512
Charlie,charlie84@gmail.com,118.0,Canada,40000.0,2023-05-12
